columna_pca,componente,correlacion_columna_score
sexo_desc__hombre,PC58,-2.9049968658718676e-06
sexo_desc__hombre,PC59,-7.373680622343105e-07
sexo_desc__hombre,PC60,4.934954578485997e-08
sexo_desc__hombre,PC61,8.847378070551592e-08
sexo_desc__hombre,PC62,-3.5852773514697346e-07
sexo_desc__hombre,PC63,1.4926412730856073e-07
sexo_desc__hombre,PC64,4.401092849674053e-08
sexo_desc__hombre,PC65,5.297217793941303e-09
sexo_desc__hombre,PC66,1.207584245178145e-07
sexo_desc__hombre,PC67,5.999206607216301e-18
sexo_desc__hombre,PC68,7.912637714097541e-18
sexo_desc__hombre,PC69,9.760919304756699e-18
sexo_desc__hombre,PC70,-7.938698389255869e-17
sexo_desc__hombre,PC71,3.0907414097970825e-18
sexo_desc__hombre,PC72,-2.4712519222013405e-17
sexo_desc__hombre,PC73,-8.868551947507629e-17
sexo_desc__hombre,PC74,2.8760226435165136e-17
sexo_desc__hombre,PC75,-1.7455737120979382e-17
sexo_desc__hombre,PC76,5.3603690932922936e-17
sexo_desc__hombre,PC77,-4.65823650801036e-19
sexo_desc__mujer,PC1,-0.0076624227552601325
sexo_desc__mujer,PC2,-0.30494992011554867
sexo_desc__mujer,PC3,-0.10394805442791422
sexo_desc__mujer,PC4,-0.08449749788181916
sexo_desc__mujer,PC5,-0.32371866917579367
sexo_desc__mujer,PC6,0.6467078812555048
sexo_desc__mujer,PC7,0.10895022980808884
sexo_desc__mujer,PC8,0.38600401187443695
sexo_desc__mujer,PC9,-0.18562858469287435
sexo_desc__mujer,PC10,-0.11194742637335871
sexo_desc__mujer,PC11,-0.26462649743642847
sexo_desc__mujer,PC12,0.045885825489462795
sexo_desc__mujer,PC13,0.021337986314274793
sexo_desc__mujer,PC14,0.008007588633363972
sexo_desc__mujer,PC15,0.0011560551545756977
sexo_desc__mujer,PC16,0.007847274235376555
sexo_desc__mujer,PC17,0.030509933139041295
sexo_desc__mujer,PC18,-0.08392212826488461
sexo_desc__mujer,PC19,0.20701302887740913
sexo_desc__mujer,PC20,0.17143263179235654
sexo_desc__mujer,PC21,0.04357196509185853
sexo_desc__mujer,PC22,0.02267790027250903
sexo_desc__mujer,PC23,0.0495689255163175
